major_pin,contract_number,region,project_title,project_status,status,bid_opening_date,federal_funding,state_funding,local_funding,type_of_work,public_friendly_description,contract_award_date,contract_award_amount,approved_cost_changes,current_award_amount,estimated_or_actual_completed_date,schedule_performance,cost_performance,in_future_development_start_date,construction_start_date,construction_end_date,construction_amount
080992,D263778,10 LONG ISLAND,REGIONAL WHERE & WHEN CONTRACT,RESPOND TO EMERGENCIES AND REPAIRS ON AN AS NEEDED BASIS WHERE AN IMMEDIATE RESPONSE IS REQUIRED TO ENSURE THE SAFETY OF THE PUBLIC (LOCATIONS TO BE DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Completed Project,11/08/2018,No,Yes,No,Emergency Response Highway,This project proposes to provide for the emergency type maintenance/repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,2019-01-17T00:00:00.000,8245200,900454.86,9145654.86,2020-11-29T00:00:00.000,GREEN,RED,Summer 2017,,,
080993,D263866,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,"Replace approximately 20 overhead sign structures on Federal Aid Eligible highways on NY27, NY231& NY110 based upon inspection reports that designate deficient structures. Towns of Babylon, Brookhaven & Islip, Suffolk County",Under Construction,01/24/2019,Yes,Yes,No,Overhead Sign Structure: New/Replace,"This project proposes to replace approximately 20 overhead sign structures on Federal Aid Eligible highways on NY27 (Sunrise Highway), NY231(Deer Park Avenue) and NY110 (Broad Hollow Road / New York Avenue) in the Towns of Babylon, Islip and Brookhaven in",2019-03-05T00:00:00.000,5193830,0,5193830,2021-03-22T00:00:00.000,GREEN,GREEN,Fall 2017,,,
080994,D263910,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"CONCRETE &ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY: NY111 FROM NY454-S/O NY347, NY25A FROM MAIN ST-CR97, NY25A FROM N COUNTRY RD TO BEGINNING NY25A BY-PASS E/O CR21, &NY454 -SO SERV RD TO SYCAMORE LN, TNS BROOKHAVEN, ISLIP&SMITHTOWN,SUFFOLK CO",Completed Project,04/11/2019,Yes,Yes,No,Pavement: Mill and Fill,This project proposes to restore the pavement riding surface to a smooth and distress free condition by milling and resurfacing the existing pavement at the following locations: NY111 from NY454 (Veterans Memorial Highway) to NY347 (Nesconset-Port Jeffers,2019-05-23T00:00:00.000,7862113.9,-739432.15,7122681.75,2020-11-15T00:00:00.000,RED,GREEN,Fall 2017,,,
080995,D263894,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"Milling, concrete & asphalt pavement repairs, single course overlay:  NY25A Indian Head Rd-Lawrence Rd, NY27A CR13-NY111, 906A bet Upper Half Hollow-Bagatelle, 906B bet NY231-Pinelawn, Smithtown, Islip & Huntington towns.  Suffolk county",Completed Project,03/14/2019,Yes,Yes,No,Pavement: Mill and Fill,This project proposes to restore the pavement riding surface and will provide a smooth and distress free condition by milling and resurfacing the existing pavement at the following locations: NY25A (Main Street) from Indian Head Road (CR14) to Lawrence Ro,2019-04-15T00:00:00.000,8860262.32,-1571843.84,7288418.48,2020-10-02T00:00:00.000,GREEN,GREEN,Fall 2017,,,
080996,D264210,10 LONG ISLAND,GUIDERAIL REHAB CONTRACT,"Repair and replace guiderail sections on MSP & BSP, Towns of Hempstead, North Hempstead & Oyster Bay, Nassau County.",Under Construction,03/19/2020,No,Yes,No,Guiderail/Median Barrier: Rehab/Improve,This project proposes to replace the existing rustic guide rail on the Meadowbrook State Parkway (908E) from the Northern State Parkway (908G) to Ocean Parkway (909D) in the Towns of North Hempstead and Hempstead in Nassau County and the Bethpage Parkway,2020-06-05T00:00:00.000,6116459.44,16931.27,6133390.71,2021-06-30T00:00:00.000,GREEN,GREEN,Spring 2018,,,
080997,D264051,10 LONG ISLAND,BRIDGE DECK REPLACEMENT & REPAIR CONTRACT,"Bridge deck replacement and repairs on I495 WB/River Rd BIN 1056191, I495 EB/River Rd 1056192, NYS 25 WB/CR58 BIN 1056230 and Lincoln Ave/NYS 27 BIN 1073300. Towns of Islip and Riverhead, Suffolk County.",Completed Project,10/23/2019,Yes,Yes,No,Bridge: Deck Replacement,This project proposes deck replacement and other repairs to the following bridges in the Town of Riverhead in Suffolk County: - Long Island Expressway (Interstate 495) westbound bridge over River Road - Long Island Expressway (Interstate 495) eastbound br,2020-02-21T00:00:00.000,14395053.8,-15.04,14395038.76,2021-04-23T00:00:00.000,GREEN,GREEN,Spring 2018,,,
080999,D264028,10 LONG ISLAND,SIGN REQUIREMENTS CONTRACT,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Under Construction,08/22/2019,Yes,Yes,No,Traffic Signs,"This project proposes to replace or repair signs that are worn or damaged along state highways in Nassau and Suffolk Counties. Furthermore, this project may install new signs to address safety and operational problems that are identified.",2019-10-11T00:00:00.000,2947805,242400,3190205,2022-03-22T00:00:00.000,GREEN,YELLOW,Spring 2018,,,
081000,D264268,10 LONG ISLAND,SAFETY IMPROVEMENTS,Safety Improvements -  Lane Extensions and Diamond Grinding  on various State Highways in Nassau and Suffolk counties,Under Construction,08/06/2020,Yes,Yes,No,"Pavement: Reconstruction, Asphalt/Overlay","This project proposes to improve safety by diamond grinding concrete pavement to improve friction characteristics at the following locations: NY27(Sunrise Hwy)near Hubbards Path,  Southern State Pkwy(908M)near Sagtikos State Pkwy, & Sunken Meadow Pkwy(908",2020-10-02T00:00:00.000,8618750.75,37901.2,8656651.95,2022-01-29T00:00:00.000,GREEN,GREEN,Summer 2018,,,
081001,,10 LONG ISLAND,SAFETY ENHANCEMENTS,"Safety Enhancements - Widen intersection &add turning lanes at NY25 @ Edwards Ave, NY114 @Stephens Hands Path, NY114 @ Goodfriend Dr.  Potential roundabout at NY25 @ CR48. Towns of Riverhead, E Hampton, Southold. Suffolk County",In Development,Fall 2022,Yes,Yes,No,Alignment Work,"This project proposes to improve safety at the following intersections: Location 1 - NYS Route 25 at Edwards Avenue, Town of Riverhead, Suffolk County - Widening the intersection and adding turn lanes. Location 2 - NYS Route 114 (Sag Harbor Turnpike) at S",,,,,,,,Summer 2018,Winter 2022/2023,Fall 2023,5300000
081002,,10 LONG ISLAND,SAFETY ENHANCEMENTS,"Safety Enhancements at intersections: NY25 at Dix Hills Rd & Broadway, NY27 at NY114 (Potential roundabout), SSP w/b at North Corona Ave, Towns of Huntington, East Hampton & Hempstead, Nassau & Suffolk Counties.",In Development,Fall 2023,Yes,Yes,No,Alignment Work,"This project proposes to provide safety enhancements at the following locations: 1. Intersection of NYS Route 25 at Dix Hills Road and Broadway in the Town of Huntington, Suffolk County. Changing the alignment of Dix Hills Road and Broadway at their inter",,,,,,,,Summer 2018,Winter 2023/2024,Winter 2024/2025,6600000
081003,D264187,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"Pavement Rehabilitation NY25-Mt. Sinai/Coram Rd toWading River Manor Rd, NY25B- Queens/Nassau Line to LIRR tracks (E.Williston), NY107-Merrick Rd to NY24, Towns of Brookhaven, N Hempstead, Oyster Bay & Riverhead, Nassau &Suffolk Counties.",Under Construction,03/05/2020,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on: NY25 (Middle Country Road) between Mount Sinai/Coram Road and Wading River Manor Road, Towns of Brookhaven and Riverhead, Suffolk County; NY25B (Hillside Avenue) between Queens/Nassau Line",2020-04-20T00:00:00.000,22802075.19,291096.66,23093171.85,2021-11-30T00:00:00.000,GREEN,GREEN,Summer 2018,,,
081004,D264325,10 LONG ISLAND,PM DRAINAGE CLEAN/REPAIR/REPLACE,"Clean basins filled w/debris, repair, replace or provide missing collars, repair basin walls, clean clogged pipes, repair or replace broken pipes, replace grates, replace basins, connect isolated basins to drainage system in Nassau & Suffolk county.",Under Construction,09/24/2020,Yes,Yes,No,Drainage: Rehab,This proposed project will clean/repair/ replace existing drainage systems at the following locations in Nassau and Suffolk Counties to maintain their reliability and integrity and help assure the continued safety of the traveling public: 1. Clean stormwa,2020-11-02T00:00:00.000,5778984,0,5778984,2022-10-01T00:00:00.000,GREEN,GREEN,Fall 2018,,,
081007,D264242,10 LONG ISLAND,BRIDGE CLEANING CONTRACT,Bridge Cleaning (approximately 266 bridges) on various state highways & parkways in Nassau & Suffolk counties.,Under Construction,03/26/2020,Yes,Yes,No,"Bridge: Maintenance: Cyclical (Washing, Sealing, Cleaning, etc.)",This proposed project proposes to wash various bridges (approximately 266 bridges) in Nassau and Suffolk counties. They are washed every other year for the bridges to last their intended life cycle.,2020-06-24T00:00:00.000,4747047,0,4747047,2021-12-01T00:00:00.000,GREEN,GREEN,Fall 2018,,,
081008,D264113,10 LONG ISLAND,DURABLE PAVEMENT MARKING,Installation of upgraded or replacement of damaged pavement markings & plowable reflective markers on various federal aid eligible state highways & parkways in Nassau & Suffolk counties.,Completed Project,12/19/2019,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk Counties. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings",2020-02-13T00:00:00.000,7589342.64,-9744.14,7579598.5,2021-06-30T00:00:00.000,GREEN,GREEN,Fall 2018,,,
081009,,10 LONG ISLAND,SAFETY ENHANCEMENTS,"Safety Enhancements - Extend left turn lanes, add new decel lanes or install new traffic signals at various loc.  Turn around for emer veh on Sagtikos State Pkwy.  Towns of Babylon, Hempstead, Huntington, Islip, Oyster Bay and Smithtown, Nassau & Suf",In Development,Winter 2021/2022,Yes,Yes,No,Alignment Work,This project proposes to provide safety enhancements at various locations by extending left turn lanes & adding new deceleration lanes. A turn-around for the emergency vehicles is also included in the project for Sagtikos State Pkwy. This will help to red,,,,,,,,Fall 2018,Spring 2022,Spring 2023,6600000
081010,D264414,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,"Preventative maintenance bridge repairs including bearing replacement , asphalt wearing surface replacement, & other minor repairs on 3 bridges including HSP over Union Blvd, HSP over Hawthorne Ave and HSP over NY27A. Town of Islip, Suffolk County",Under Construction,06/03/2021,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)","This proposed project proposes to repair three bridges along Heckscher State Parkway in the Town of Islip, Suffolk County to help maintain the reliability and integrity of the bridges to assure the continued safety of the traveling public. The bridges are",2021-07-20T00:00:00.000,4129997,0,4129997,2022-05-04T00:00:00.000,GREEN,GREEN,Winter 2018/2019,,,
081011,D264207,10 LONG ISLAND,CRACK SEALING CONTRACT,"Rout&seal asphalt pavement cracks&joint overlay repair NY25, NY25A, NY27A, NY106,Montauk Hwy, & LIE SSR.  Towns of Oyster Bay, N Hempstead, Brookhaven, Islip & Southampton, Nassau & Suffolk Counties.",Completed Project,03/19/2020,Yes,Yes,No,Pavement: Crack or Joint Sealing,"This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement along NY25 (Jericho Turnpike) from South Oyster Bay Road to Nassau/Suffolk County Line, NY106 (Newbridge Road) from Old Country Road to NY106/107 (Hicksvi",2020-07-03T00:00:00.000,1584244,-682590.7,901653.3,2020-10-27T00:00:00.000,GREEN,GREEN,Winter 2018/2019,,,
081012,D264010,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"Concrete Pavement Restoration including joint sealing and diamond grinding at Ocean Parkway w/b from Zach's Bay to N/S County Line and NY27A from Old Sunrise Highway to Merrick Rd, Towns of Hempstead & Oyster Bay, Nassau County.",Completed Project,07/11/2019,No,Yes,No,"Pavement: Concrete Pavement Repair, Heavy","This project proposes to provide concrete pavement repairs on Ocean Parkway (909D), westbound only, from Zach's Bay to the Nassau/Suffolk County Line in the Towns of Hempstead and Oyster Bay, Nassau County and NY27A (Carman Mill Road) from Old Sunrise Hig",2019-08-19T00:00:00.000,3755387.07,58010.87,3813397.94,2020-12-30T00:00:00.000,RED,GREEN,Spring 2019,,,
081013,D264011,10 LONG ISLAND,PRIORITY SURFACE TREATMENT,"Milling, asphalt pavement repairs, single course overlay on NY25B-NSP to NY25, NY110-Depot Rd to Henry St, NY27-Horseblock Rd to William Floyd Pkwy, NY110-Lowndes Ave to High St. Towns of Brookhaven, Huntington & N Hempstead, Nassau & Suffolk Countie",Completed Project,07/11/2019,No,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on NY25B (Hillside Avenue) from Northern State Parkway to NY25 (Jericho Turnpike), NY110 Broad Hollow Road) from Depot Road to Henry Street, NY27 (Sunrise Highway) from Horseblock Road to Willia",2019-08-02T00:00:00.000,6585958,646851.07,7232809.07,2020-12-29T00:00:00.000,RED,YELLOW,Spring 2019,,,
081014,D264335,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"Clean basins filled w/debris, repair, replace or provide missing collars, repair basin walls, clean clogged pipes, repair or replace broken pipes, replace grates, replace basins, connect isolated basins to drainage system in multiple locations Nas &",Under Construction,11/05/2020,Yes,Yes,No,Drainage: Rehab,"This proposed project will clean/repair/ replace existing drainage systems at the following locations in the Towns of Hempstead, North Hempstead, Oyster Bay, Islip and Smithtown in Nassau and Suffolk Counties to maintain their reliability and integrity an",2020-12-15T00:00:00.000,3904103,0,3904103,2022-05-31T00:00:00.000,GREEN,GREEN,Fall 2018,,,
081015,D264217,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Under Construction,07/23/2020,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade or install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to imp",2020-09-15T00:00:00.000,4964501.5,-268.65,4964232.85,2021-07-17T00:00:00.000,GREEN,GREEN,Spring 2019,,,
081016,D264282,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,"Overhead sign structure replacement on Fed Aid eligible state highways in Towns of Babylon, Brookhaven, Huntington, Islip, Riverhead and Smithtown, Suffolk County.",Under Construction,08/06/2020,Yes,Yes,No,Overhead Sign Structure: New/Replace,"This project proposes to replace twenty six  (26) overhead sign structures on Federal Aid Eligible highways in the towns of Babylon, Islip, Brookhaven, Riverhead, Huntington, and Smithtown in Suffolk County to maintain their structural integrity. The loca",2020-09-14T00:00:00.000,4846655.84,45626.65,4892282.49,2021-12-01T00:00:00.000,GREEN,GREEN,Spring 2019,,,
081017,D264201,10 LONG ISLAND,PAVEMENT RESURFACING CONTRACT,"Asphalt pavement repairs, single course overlay - OP MSP - Toll Booths at Captree State Park; NY27 e/b Service Rd Malts Ave - Manor Lane, Towns of Hempstead, Oyster Bay, Babylon & Islip, Nassau & Suffolk Counties.",Completed Project,03/19/2020,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on; 909D (Ocean Parkway) between 908E (Meadowbrook State Parkway) and Jones Beach Parking Field 6, 909D (Ocean Parkway), eastbound only, between Jones Beach Parking Field 6 and the Nassau/Suffo",2020-05-08T00:00:00.000,8951344.7,197162.95,9148507.65,2021-04-15T00:00:00.000,GREEN,GREEN,Spring 2019,,,
081018,D264330,10 LONG ISLAND,PRIORITY RESURFACING,"Resurface asphalt pavements, single course overlay:  Glen Cove Rd from Helen St to NY107, NY25 from N/S line to Deer Park Rd; Towns of North Hempstead, Oyster Bay & Huntington,  Nassau & Suffolk Counties.",Under Construction,11/05/2020,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on; NYS 25 (Jericho Turnpike) from the Nassau/Suffolk County line to Deer Park Road in the Town of Huntington, Suffolk County and 900B (Glen Cove Road) from Helen Street to NYS 107 (Hicksville",2020-12-21T00:00:00.000,12577775,0,12577775,2022-07-20T00:00:00.000,GREEN,GREEN,Spring 2019,,,
081019,D264234,10 LONG ISLAND,PARK&RIDE/BKWY/GRAFFITI/TREE TRIMMING,"REMOVAL OR PAINT OVER OF GRAFITTI, REPAIR NOISE WALLS, TREE TRIMMING, MAINTAIN THE 7 PARK & RIDE LOTS ALONG I495, ALL NYS BIKEWAYS, REST AREAS, PUBLIC TELEPHONE AREAS ALONG PARKWAYS & BUS SHELTERS ON NYS RIGHT-OF-WAY NASSAU AND SUFFOLK COUNTIES",Under Construction,09/10/2020,No,Yes,No,Other,"This project proposes to remove or paint over graffiti, repair noise walls, maintain the park and ride lots, bikeways, pedestrian bridges, rest areas, truck stops, truck inspection areas, former public telephone areas along parkways, bus shelters and prov",2020-11-03T00:00:00.000,3287564.02,0,3287564.02,2022-10-16T00:00:00.000,GREEN,GREEN,Summer 2019,,,
081020,D264294,10 LONG ISLAND,REGIONAL WHERE & WHEN CONTRACT,RESPOND TO EMERGENCIES AND REPAIRS ON AN AS NEEDED BASIS WHERE AN IMMEDIATE RESPONSE IS REQUIRED TO ENSURE THE SAFETY OF THE PUBLIC (LOCATIONS TO BE DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Under Construction,09/10/2020,No,Yes,No,Emergency Response Highway,This project proposes to provide for the emergency type maintenance/repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,2020-10-23T00:00:00.000,8172366,0,8172366,2022-11-22T00:00:00.000,GREEN,GREEN,Summer 2019,,,
081022,D264457,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,"Overhead sign structure replacement - Replace sign structures on Federal Aid Eligible highways to maintain their structural integrity in the Towns of Oyster Bay, Hempstead, North Hempstead, Babylon and Huntington, Nassau and Suffolk Counties.",Under Construction,03/25/2021,Yes,Yes,No,Overhead Sign Structure: New/Replace,"This project proposes to replace various overhead sign structures on various state highways to maintain structural integrity to make sure the public has a safer transportation system in the Towns of Oyster Bay, Hempstead and North Hempstead in Nassau Coun",2021-05-04T00:00:00.000,4559770,0,4559770,2022-05-11T00:00:00.000,GREEN,GREEN,Fall 2019,,,
081023,D264290,10 LONG ISLAND,Priority Surface Treatment,"Milling, asphalt pavement repairs, single course overlay on NY109 from NY24 to Nassau/Suffolk County Line and NY25A from Nicolls Rd to Main St/East Broadway in the Towns of Oyster Bay and Brookhaven, Nassau and Suffolk Counties.",Under Construction,07/23/2020,No,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on NY109 (Fulton Street) from NY24 (Hempstead Turnpike) to the Nassau/Suffolk County Line, Town of Oyster Bay in Nassau County and NY25A (North Country Road) from CR97 (Nicolls Road) to Main Str",2020-09-08T00:00:00.000,7367777.77,221322.7,7589100.47,2021-10-31T00:00:00.000,GREEN,GREEN,Winter 2019/2020,,,
081024,D264526,10 LONG ISLAND,CRACK SEALING CONTRACT,"Rout & seal cracks & joint overlay repair NY24 from QueenNas line to Munson Av, NY105 from NY106 to Wantagh Av, NY101 from NY25A to Harbor Rd, NY25 from Deer Park Rd to Kings Park Rd, NY454 from Sycamore Ln to 13th Ave, NY107 from NY24 to Pulaski St,",Under Construction,06/17/2021,Yes,Yes,No,Pavement: Crack or Joint Sealing,"This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement on Hempstead Turnpike (NY 24) between the Queens/Nassau County line and Munson Avenue, Jerusalem Avenue (NY 105) between Newbridge Road (NY 106) and Wanta",2021-07-20T00:00:00.000,2747043,0,2747043,2023-01-01T00:00:00.000,GREEN,GREEN,Winter 2019/2020,,,
081025,D264277,10 LONG ISLAND,BRIDGE REPAIR WHERE & WHEN,PROVIDE BRIDGE REPAIRS ON AN AS-NEEDED OR EMERGENCY BASIS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Under Construction,07/23/2020,No,Yes,No,Emergency Response Bridge Repair,This project proposes to provide maintenance repairs to bridges at locations to be determined to keep their reliability and integrity and help assure the continued safety of the traveling public in Nassau and Suffolk Counties.   The following bridges have,2020-08-31T00:00:00.000,4173500,1,4173501,2022-11-30T00:00:00.000,GREEN,GREEN,Winter 2019/2020,,,
081026,,10 LONG ISLAND,GUIDERAIL REHABILITATION,"Replace rustic guiderail sections:  NY106 at NY25A, NY25A from West of Flora St to Portland Pl, WSP  from Ocean to NSP and  NY27A from Union Blvd to CR85.  Towns of Oyster Bay, North Hempstead , Hempstead, Huntington and Islip, Nassau & Suffolk Count",In Development,Fall 2021,No,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace the existing rustic guide rail on Oyster Bay Road (NY106) at Northern Boulevard (NY25A) intersection in the Town of Oyster Bay in Nassau County, Harbor Road (NY25A) from west of Flora Street to Portland Place in the Town o",,,,,,,,Winter 2019/2020,Winter 2021/2022,Winter 2022/2023,7400000
081027,D264450,10 LONG ISLAND,Pavement Resurfacing,"Pavement resurfacing on NY112 between NY27 and I495, NY27A between NY111 and NY27, NY25 between Terry Rd and NY347 and NY27 between South Etna Ave and Montauk Point State Park. Towns of Islip, Smithtown, Brookhaven and East Hampton. Suffolk County",Under Construction,03/11/2021,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on NY112 between NY27 and Interstate 495, NY27A between NY111 and NY27, NY25 between Terry Road and NY347 and NY27 between South Etna Avenue and Montauk Point State Park in the Towns of Islip, S",2021-04-22T00:00:00.000,17926216.88,0,17926216.88,2022-10-31T00:00:00.000,GREEN,GREEN,Spring 2020,,,
081028,D264451,10 LONG ISLAND,Drainage Improvements,This project proposes improvements to the drainage systems at various locations to maintain their reliability and integrity and help assure the continued safety of the traveling public: The proposed locations are as follows: a. Northern State Parkway,Under Construction,03/11/2021,Yes,Yes,No,Drainage: Rehab,This project proposes improvements to the drainage systems at various locations to maintain their reliability and integrity and help assure the continued safety of the traveling public: The proposed locations are as follows: a. Northern State Parkway from,2021-04-30T00:00:00.000,8863140.43,0,8863140.43,2023-08-01T00:00:00.000,GREEN,GREEN,Spring 2020,,,
081029,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties.",In Development,Spring 2021,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations will be selected based on the need to address safety concerns and t",,,,,,,,Spring 2020,Summer 2021,Spring 2023,4200000
081030,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,"This project proposes to repair various bridges to help maintain the reliability and integrity of the bridges and thereby assure the continued safety of the traveling public. Towns of Hempstead, North Hempstead and Huntington, Nassau and Suffolk Coun",In Development,Fall 2022,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)","This project proposes to repair various bridges to help maintain the reliability and integrity of the bridges and thereby assure the continued safety of the traveling public. The bridges included are: 1. Loop Parkway (908C) over Swift Creek, Town of Hemps",,,,,,,,Spring 2020,Winter 2022/2023,Fall 2023,13300000
081031,D264454,10 LONG ISLAND,CONCRETE PAVEMENT RESTORATION,"Concrete pavement repair incl. joint seal, MSP NB only between s/o Babylon Tpke & SSP, MSP SB only between SSP & s/o SSP, and NY27 between CR101 and CR16, Town of Hempstead and Brookhaven, Nassau and Suffolk County.",Under Construction,04/08/2021,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to provide concrete pavement repairs on Meadowbrook State Parkway from Babylon Turnpike to Southern State Parkway in the Town of Hempstead in Nassau County and on Sunrise Highway (NY27) from Patchogue-Yaphank Road (CR101) to Horseblo,2021-05-20T00:00:00.000,4981819,0,4981819,2022-10-19T00:00:00.000,GREEN,GREEN,Spring 2020,,,
081032,D264430,10 LONG ISLAND,SIGN REQUIREMENTS,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Under Construction,03/25/2021,Yes,Yes,No,Traffic Signs,This project proposes to replace or repair signs that are worn or damaged along state highways in Nassau and Suffolk County.  This project also proposes to install ten (10) state supplied overhead Variable Message Signs (VMS).  New signs may be installed,2021-06-23T00:00:00.000,9322622,0,9322622,2023-11-11T00:00:00.000,GREEN,GREEN,Spring 2020,,,
081033,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"Clean basins filled w/debris, repair, replace or provide missing collars, repair basin walls, clean clogged pipes, repair or replace broken pipes, replace grates, replace basins, connect isolated basins to drainage system in multiple locations.  Proj",In Development,Summer 2022,Yes,Yes,No,Drainage: Rehab,This project proposes improvements to the drainage systems at various locations to maintain their reliability and integrity and help assure the continued safety of the traveling public.The locations included are as follows:? Clean 50 stormwater quality un,,,,,,,,Spring 2020,Fall 2022,Fall 2023,6900000
081036,D264431,10 LONG ISLAND,CONCRETE PAVEMENT REPAIR,"Concrete pavement repairs including joint sealing and diamond grinding on the Meadowbrook State Parkway (908E) from Southern State Parkway (908M) to Glenn Curtiss Boulevard,  Jericho Tnpk (NY 25) from Glen Cove Road to Hillside Ave (NY 25B) and Sunri",Under Construction,02/04/2021,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Light","This project proposes to provide concrete pavement repairs on Jericho Turnpike (NY 25) from Glen Cove Road to Hillside Avenue (NY 25B), Meadowbrook State Parkway (908E) from Southern State Parkway (908M) to Glenn Curtiss Boulevard, and Sunrise Highway (NY",2021-03-05T00:00:00.000,10110000,0,10110000,2022-12-01T00:00:00.000,GREEN,GREEN,Summer 2020,,,
081037,D264418,10 LONG ISLAND,Pavement Resurfacing,"Pavement resurfacing on NY27 SSR from Brentwood Rd to Connetquot Ave, NY27 NSR from Connetquot Ave to Brentwood Rd and I495 SSR from Bagatelle Rd to NY231. Towns of Huntington and Islip, Suffolk County.",Under Construction,02/04/2021,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on Sunrise Highway South and North Service Roads (906C and 906D) from Brentwood Road to Connetquot Avenue in the Town of Islip, Suffolk County and the Long Island Expressway South Service Road (",2021-03-10T00:00:00.000,8344351.09,0,8344351.09,2022-03-01T00:00:00.000,GREEN,GREEN,Summer 2020,,,
081042,,10 LONG ISLAND,CRACK SEALING CONTRACT,"Rout & Seal Asphalt Pavement Cracks, joint overlays and limited pavement repairs on NY25A between Main St & Nicolls Rd, NY111 between NY454 & jughandle, NY27A between N. Ocean Ave & Islip Ave, I495 SSR between Upper Half Hollow Rd & Bagatelle Rd, NSP",In Development,Summer 2022,Yes,Yes,No,Pavement: Crack or Joint Sealing,"This proposed project will apply a preventative maintenance treatment to seal cracks, joint overlays and some limited pavement repair in the pavement on NY 25A (North Country Road) between Main Street and Nicolls Road, Islip Avenue (NY 111) between Vetera",,,,,,,,Winter 2020/2021,Summer 2022,Summer 2023,3300000
081043,,10 LONG ISLAND,RUSTIC RAIL REPLACEMENT,"Replace rustic guiderail sect: RMC from 0.7 mi s/o NY27A to RMC S. Terminus, NY27 from Wainscott Stone Rd to Stephen Hands Path & from CR49 to the End (Montauk Point), SSP from HSP to NY109, NY25A at NY106, NY25A and the Nass/Suff Line, NY25A and NY2",In Development,Spring 2023,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing rustic guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public on Robert Moses Causew",,,,,,,,Spring 2021,Summer 2023,Summer 2024,10200000
